seq.name,gene_symbol
ENST00000183605.10,CLDN18
ENST00000184266.3,NDUFB4
ENST00000184956.10,HEATR6
ENST00000185150.9,ERLEC1
ENST00000186436.10,TMEM131
ENST00000187397.8,ARPP21
ENST00000187762.7,TMEM38A
ENST00000187879.12,ZNF222
ENST00000188312.6,ACTR6
ENST00000188790.9,FAP
ENST00000190165.3,DMRT3
ENST00000190611.9,OSBPL6
ENST00000192314.7,GAL3ST2
ENST00000192788.6,UHRF1BP1
ENST00000193322.8,OSTM1
ENST00000193391.8,IMPG2
ENST00000193403.10,ACTN1
ENST00000194130.7,SLC13A1
ENST00000194152.4,PCDHB4
ENST00000194155.7,PCDHB2
ENST00000194214.9,HSPB11
ENST00000194530.8,STRADB
ENST00000196061.5,PLOD1
ENST00000196371.10,OXCT1
ENST00000196489.4,ZNF416
ENST00000197268.13,FAM234B
ENST00000198536.7,PILRA
ENST00000198767.10,RRN3
ENST00000198801.10,MOGAT2
ENST00000199280.3,AQP2
ENST00000199320.9,DIMT1
ENST00000199389.11,EIF2AK1
ENST00000199447.9,NME8
ENST00000199708.3,HBQ1
ENST00000199764.7,CEACAM6
ENST00000199814.9,RBM22
ENST00000199936.9,HSD17B2
ENST00000200135.8,ZW10
ENST00000200181.8,ITGB4
ENST00000200453.6,PPP1R15A
ENST00000200457.9,TRIP6
ENST00000200557.11,ADAM11
ENST00000200652.4,SLC22A4
ENST00000200676.8,CETP
ENST00000200691.4,MT3
ENST00000201015.8,PTHLH
ENST00000201031.3,TFAP2C
ENST00000201586.6,SULT2B1
ENST00000201647.11,EPS8L1
ENST00000201979.3,REM1
ENST00000202017.6,PDRG1
ENST00000202556.14,PPP1R13B
ENST00000202625.7,TGM6
ENST00000202677.12,RALGAPA2
ENST00000202773.13,RPL6
ENST00000202816.5,ESF1
ENST00000202831.7,SLC8B1
ENST00000202834.11,TMEM230
ENST00000202967.4,SIRT4
ENST00000203001.7,TRMT6
ENST00000203166.10,HAUS5
ENST00000203407.6,UQCRC1
ENST00000203556.9,GMIP
ENST00000203629.3,LAG3
ENST00000203664.10,OTUB2
ENST00000204517.11,TFAP4
ENST00000204549.9,PDCD7
ENST00000204566.7,SPG21
ENST00000204604.5,CHRD
ENST00000204679.9,GNPTG
ENST00000204726.8,GOLGA3
ENST00000204961.5,EFNB1
ENST00000205061.9,GLG1
ENST00000205194.5,NAT14
ENST00000205214.11,AASDH
ENST00000205402.10,DLD
ENST00000205557.11,ABCC6
ENST00000205636.4,CMTM6
ENST00000205948.11,APOH
ENST00000206020.8,SPAG7
ENST00000206262.2,RGS17
ENST00000206423.7,CCDC80
ENST00000206451.11,PSME1
ENST00000206474.11,HAUS4
ENST00000206513.5,CEBPE
ENST00000206542.9,OSGEP
ENST00000206595.11,G2E3
ENST00000206765.11,TGM1
ENST00000207157.7,TBX15
ENST00000207457.8,TEKT2
ENST00000207549.8,UNC13D
ENST00000207870.8,XYLB
ENST00000209668.3,ADH1A
ENST00000209718.7,KRT23
ENST00000209728.9,CDC6
ENST00000209873.9,AAAS
ENST00000209875.9,CBX5
ENST00000209884.5,KLHL20
ENST00000209929.10,FMO2
ENST00000210060.12,DHPS
ENST00000210187.11,RAB26
ENST00000210313.8,PSMD5
ENST00000210444.6,NANS
ENST00000210633.3,SEMA4G
ENST00000211076.5,TPSD1
ENST00000211122.4,GSTA3
ENST00000211287.9,MAPK13
ENST00000211314.5,TMEM14A
ENST00000211379.9,BAG6
ENST00000211413.10,PRRT1
ENST00000211936.10,ZNF184
ENST00000211998.9,VCL
ENST00000212015.11,SIRT1
ENST00000212355.9,TGFBR3
ENST00000214869.7,TMED1
ENST00000215061.9,OCEL1
ENST00000215071.8,PSMD8
ENST00000215095.11,STX1B
ENST00000215115.4,BCL7C
ENST00000215368.4,EFNA2
ENST00000215530.6,FGF22
ENST00000215531.6,SMIM24
ENST00000215539.3,IGFALS
ENST00000215555.6,MARCH2
ENST00000215565.3,NDUFB7
ENST00000215570.8,TIMM13
ENST00000215574.9,CDC34
ENST00000215582.8,MISP
ENST00000215631.9,GADD45B
ENST00000215637.8,MADCAM1
ENST00000215659.13,MAPK12
ENST00000215727.10,SERPIND1
ENST00000215730.12,SNAP29
ENST00000215742.9,THAP7
ENST00000215743.8,MMP11
ENST00000215754.8,MIF
ENST00000215770.6,DDTL
ENST00000215781.3,OSM
ENST00000215790.11,TBC1D10A
ENST00000215793.13,SF3A1
ENST00000215794.8,USP18
ENST00000215829.8,SNRPD3
ENST00000215832.10,MAPK1
ENST00000215838.8,TCN2
ENST00000215855.7,CRYBB3
ENST00000215882.10,SLC25A1
ENST00000215885.4,PLA2G3
ENST00000215886.6,LGALS2
ENST00000215904.7,PDXP
ENST00000215906.6,ASPHD2
ENST00000215909.10,LGALS1
ENST00000215912.10,PIK3IP1
ENST00000215917.11,SRRD
ENST00000215941.9,ANKRD54
ENST00000215957.10,MICALL1
ENST00000215980.10,CENPM
ENST00000216014.9,KDELR3
ENST00000216024.7,DMC1
ENST00000216027.8,HSCB
ENST00000216029.7,CBY1
ENST00000216034.6,TOMM22
ENST00000216036.9,RSPH14
ENST00000216038.6,RTCB
ENST00000216039.9,JOSD1
ENST00000216044.10,GTPBP1
ENST00000216068.9,DNAL4
ENST00000216071.4,C22orf31
ENST00000216075.11,MIOX
ENST00000216085.12,RHBDD3
ENST00000216099.13,APOBEC3D
ENST00000216101.7,RASL10A
ENST00000216106.6,HMGXB4
ENST00000216115.3,BIK
ENST00000216117.9,HMOX1
ENST00000216121.12,NIPSNAP1
ENST00000216122.9,MCM5
ENST00000216124.10,ARSA
ENST00000216127.5,RASD2
ENST00000216129.7,TTLL12
ENST00000216133.10,CBX7
ENST00000216139.10,ACR
ENST00000216144.4,CABP7
ENST00000216146.9,RPL3
ENST00000216160.11,TAB1
ENST00000216177.8,PNPLA5
ENST00000216180.8,PNPLA3
ENST00000216181.10,MYH9
ENST00000216185.7,TXN2
ENST00000216190.13,EIF3D
ENST00000216200.9,PVALB
ENST00000216211.9,UPK3A
ENST00000216214.7,FAM118A
ENST00000216218.8,ST13
ENST00000216223.10,IL2RB
ENST00000216225.9,RBX1
ENST00000216237.10,L3MBTL2
ENST00000216241.14,CHADL
ENST00000216252.4,PHF5A
ENST00000216254.9,ACO2
ENST00000216259.8,PMM1
ENST00000216264.13,CERK
ENST00000216268.6,ZBED4
ENST00000216271.10,HDAC10
ENST00000216274.10,RIPK3
ENST00000216277.12,PAPOLA
ENST00000216281.12,HSP90AA1
ENST00000216286.10,NID2
ENST00000216294.5,SNAPC1
ENST00000216297.7,SUPT16H
ENST00000216330.7,FKBP3
ENST00000216336.3,CTSG
ENST00000216338.9,GZMH
ENST00000216341.9,GZMB
ENST00000216367.10,POLE2
ENST00000216373.10,SOS2
ENST00000216410.8,GNPNAT1
ENST00000216416.9,CNIH1
ENST00000216420.12,CGRRF1
ENST00000216442.12,ATP6V1D
ENST00000216445.7,CCDC198
ENST00000216446.9,PLEK2
ENST00000216452.9,PIGH
ENST00000216455.9,PSMA3
ENST00000216465.10,GSTZ1
ENST00000216468.8,TMED8
ENST00000216471.4,SAMD15
ENST00000216479.8,AHSA1
ENST00000216484.6,SPTLC2
ENST00000216487.12,RIN3
ENST00000216489.8,ALKBH1
ENST00000216492.10,CHGA
ENST00000216500.9,DHRS7
ENST00000216513.5,SIX4
ENST00000216540.5,SLC10A1
ENST00000216554.8,EIF5
ENST00000216629.11,BDKRB1
ENST00000216639.8,VRK1
ENST00000216727.8,PABPN1
ENST00000216733.8,EFS
ENST00000216756.11,CINP
ENST00000216780.9,PCK2
ENST00000216797.9,NFKBIA
ENST00000216799.9,EMC9
ENST00000216802.10,PSME2
ENST00000216807.12,BRMS1L
ENST00000216832.9,PNN
ENST00000216840.10,RABGGTA
ENST00000216862.8,CYP24A1
ENST00000216879.8,NSFL1C
ENST00000216962.9,PYGB
ENST00000216968.5,PROCR
ENST00000217026.5,MYBL2
ENST00000217043.3,R3HDML
ENST00000217086.9,SALL4
ENST00000217109.9,CSTF1
ENST00000217131.6,CTSZ
ENST00000217133.1,TUBB1
ENST00000217159.6,SLCO4A1
ENST00000217169.8,BIRC7
ENST00000217173.7,UBOX5
ENST00000217182.6,EEF1A2
ENST00000217188.1,SRMS
ENST00000217233.8,TRIB3
ENST00000217246.8,MACROD2
ENST00000217254.11,SLC52A3
ENST00000217260.9,RSPO4
ENST00000217270.3,PROKR2
ENST00000217289.8,FERMT1
ENST00000217320.8,TLDC2
ENST00000217381.2,SNTA1
ENST00000217386.2,OXT
ENST00000217402.3,CHMP4B
ENST00000217407.3,LBP
ENST00000217420.2,SLC32A1
ENST00000217423.3,CST4
ENST00000217426.7,AHCY
ENST00000217428.7,SPINT3
ENST00000217446.7,PIGU
ENST00000217455.9,ACOT8
ENST00000217456.3,APMAP
ENST00000217740.4,RNF125
ENST00000217901.10,IDH3G
ENST00000217909.8,SLC25A43
ENST00000217926.5,H2BFWT
ENST00000217939.7,MXRA5
ENST00000217957.9,VSIG1
ENST00000217958.8,PSMD10
ENST00000217961.4,STS
ENST00000217971.8,PGRMC1
ENST00000217999.3,RHOXF1
ENST00000218006.3,GUCY2F
ENST00000218068.7,PAGE4
ENST00000218075.9,GLRA2
ENST00000218099.6,F9
ENST00000218104.6,ABCD1
ENST00000218147.11,BCORL1
ENST00000218176.4,KCND1
ENST00000218230.6,PCSK1N
ENST00000218249.7,RAB40AL
ENST00000218316.4,GPR50
ENST00000218340.4,RP2
ENST00000218348.7,USP11
ENST00000218388.9,TIMP1
ENST00000218436.7,ITIH6
ENST00000218516.3,GLA
ENST00000218721.1,MLNR
ENST00000218758.9,ACP5
ENST00000218867.3,SGCG
ENST00000219022.3,OLFM4
ENST00000219066.5,NTHL1
ENST00000219069.6,ZNF263
ENST00000219070.9,MMP2
ENST00000219097.7,ORC6
ENST00000219139.8,C16orf70
ENST00000219150.9,CORO1A
ENST00000219162.4,MT4
ENST00000219169.9,NUTF2
ENST00000219197.11,CBLN1
ENST00000219204.8,ARL2BP
ENST00000219207.10,PLLP
ENST00000219235.5,CCL22
ENST00000219240.9,DHODH
ENST00000219244.9,CCL17
ENST00000219252.10,POLR2C
ENST00000219271.4,MMP15
ENST00000219281.7,USB1
ENST00000219299.8,CCDC113
ENST00000219301.8,PRSS54
ENST00000219302.7,NME3
ENST00000219313.9,PSMD7
ENST00000219320.9,SLC38A7
ENST00000219334.10,SMPD3
ENST00000219343.11,SLC7A6
ENST00000219345.10,PLA2G15
ENST00000219368.8,FA2H
