celltype,p,coefs,ctd_level,branch,fdr
Adult_Fibroblast,0.001,0.00123931626125722,3,Great Ape,0.00861111111111111
Fetus_Neutrophil,0.001,-0.00121351151380236,3,Haplorhine,0.00861111111111111
Adult_Astrocyte,0.0012,0.0026918728803868,3,Primate,0.0100540540540541
Fetus_Monocyte,0.0012,-0.000788746118830839,3,Haplorhine,0.0100540540540541
Adult_Fetal_mesenchymal_progenitor,0.0013,0.00143701115571488,3,Human,0.0107466666666667
Adult_Neutrophil,0.0014,-0.00131334625744816,3,Human,0.0112727272727273
Fetus_Antigen_presenting_cell_(RPS_high),0.0014,-0.000649427140420818,3,Haplorhine,0.0112727272727273
Adult_Stratified_epithelial_cell,0.0015,-0.00217175687569426,3,Primate,0.0119230769230769
Fetus_Stromal_cell,0.0016,0.00141520954271101,3,Homo-Pan,0.0124
Fetus_Fetal_stromal_cell,0.0016,0.000905811246890357,3,Primate,0.0124
Fetus_Smooth_muscle_cell,0.0017,0.000922609565407701,3,Primate,0.0130123456790123
Adult_Sinusoidal_endothelial_cell,0.0018,-0.00199117749344377,3,Primate,0.013609756097561
Adult_Fetal_acinar_cell,0.0019,0.00193634417291285,3,Human,0.0141927710843373
Fetus_Smooth_muscle_cell,0.002,0.00102672300677763,3,Haplorhine,0.0147619047619048
Fetus_T_cell,0.0022,-0.00127280981760677,3,Great Ape,0.0158604651162791
Adult_Neutrophil,0.0022,-0.00142823103336942,3,Haplorhine,0.0158604651162791
Adult_Antigen_presenting_cell_(RPS_high),0.0023,-0.00108903129236464,3,Great Ape,0.0163908045977011
Fetus_Fetal_acinar_cell,0.0024,0.00128154372500943,3,Haplorhine,0.0169090909090909
Fetus_Fetal_mesenchymal_progenitor,0.0025,0.000981410683768262,3,Great Ape,0.0174157303370787
Fetus_Astrocyte,0.0026,0.00280872777655341,3,Haplorhine,0.0179111111111111
Adult_Endothelial_cell_(APC),0.0027,0.00108792062617673,3,Great Ape,0.0183956043956044
Adult_Dendritic_cell,0.0028,-0.00117900814439646,3,Homo-Pan,0.0185360824742268
Fetus_Fetal_mesenchymal_progenitor,0.0029,0.000851156680299695,3,Human,0.0185360824742268
Adult_Fetal_chondrocyte,0.0029,0.00214163707650911,3,Homo-Pan,0.0185360824742268
Fetus_Primordial_germ_cell,0.0029,-0.00386928697322568,3,Homo-Pan,0.0185360824742268
Adult_T_cell,0.0029,0.00152151742041719,3,Primate,0.0185360824742268
Fetus_Endothelial_cell,0.0029,0.000708671222136291,3,Primate,0.0185360824742268
Adult_Endothelial_cell_(APC),0.003,0.0012420295409919,3,Homo-Pan,0.0187878787878788
Adult_Macrophage,0.003,-0.00106924654174416,3,Haplorhine,0.0187878787878788
Adult_Fetal_neuron,0.0031,0.00246576732261628,3,Human,0.019029702970297
Adult_Macrophage,0.0031,-0.000939559580225645,3,Primate,0.019029702970297
Fetus_B_cell,0.0033,-0.000893357099327887,3,Human,0.0198640776699029
Fetus_Fetal_stromal_cell,0.0033,0.000920315119089246,3,Haplorhine,0.0198640776699029
Fetus_Immature_sertoli_cell_(Pre_Sertoli_cell),0.0034,0.00215315168040338,3,Human,0.0202692307692308
Adult_Endothelial_cell_(APC),0.0035,0.00087644524470838,3,Human,0.0206666666666667
Adult_Neutrophil,0.0037,-0.00146517778098053,3,Great Ape,0.0214392523364486
Fetus_B_cell,0.0037,-0.000971613063664924,3,Haplorhine,0.0214392523364486
Fetus_Proximal_tubule_progenitor,0.0038,0.00184831477281335,3,Great Ape,0.0218148148148148
Fetus_Fetal_fibroblast,0.0043,0.00110078790004785,3,Human,0.024018018018018
Fetus_Fetal_skeletal_muscle_cell,0.0043,0.00137227033670612,3,Primate,0.024018018018018
Adult_Fasciculata_cell,0.0043,-0.00189261169801692,3,Haplorhine,0.024018018018018
Adult_Stratified_epithelial_cell,0.0048,-0.0018274688536455,3,Human,0.0265714285714286
Adult_Stratified_epithelial_cell,0.005,-0.00206981889446395,3,Haplorhine,0.0271929824561404
Fetus_Primordial_germ_cell,0.005,-0.00297119000505262,3,Haplorhine,0.0271929824561404
Adult_B_cell,0.0051,-0.00123071937620083,3,Great Ape,0.027495652173913
Fetus_Fetal_acinar_cell,0.0052,0.0010441154581527,3,Primate,0.0277931034482759
Fetus_Fetal_neuron,0.0054,0.00199548270403572,3,Primate,0.0286153846153846
Adult_Oligodendrocyte,0.0056,0.00249885615749341,3,Primate,0.0294237288135593
Adult_Antigen_presenting_cell_(RPS_high),0.0057,-0.000800737051911002,3,Human,0.02945
Fetus_Fetal_mesenchymal_progenitor,0.0057,0.000865463947028918,3,Haplorhine,0.02945
Adult_Fetal_neuron,0.0059,0.00253372550179634,3,Haplorhine,0.0302314049586777
Fetus_Primordial_germ_cell,0.0061,-0.00256735353223201,3,Primate,0.031
Fetus_CB_CD34+,0.0066,-0.000725141840424865,3,Human,0.033
Adult_B_cell,0.0066,-0.00136401378886695,3,Homo-Pan,0.033
Adult_Fetal_epithelial_progenitor,0.0067,-0.00275898288129235,3,Great Ape,0.033232
Adult_Fetal_neuron,0.0075,0.00224128966879932,3,Primate,0.0366141732283465
Adult_M2_Macrophage,0.0075,-0.00108321620634055,3,Great Ape,0.0366141732283465
Fetus_Fetal_endocrine_cell,0.0082,0.00207029920829345,3,Great Ape,0.03971875
Fetus_Fetal_endocrine_cell,0.0084,0.00167367946103183,3,Human,0.0400615384615385
Adult_Kidney_intercalated_cell,0.0084,0.00165588593153961,3,Primate,0.0400615384615385
Adult_Dendritic_cell,0.0085,-0.000921456476089871,3,Great Ape,0.0402290076335878
Adult_Chondrocyte,0.0087,0.00138671303117681,3,Haplorhine,0.0408636363636364
Adult_Fetal_stromal_cell,0.0089,0.00153073687380243,3,Homo-Pan,0.0414887218045113
Adult_Monocyte,0.009,-0.000757407028995241,3,Haplorhine,0.0416417910447761
Adult_Fetal_chondrocyte,0.0093,0.00154746393188725,3,Haplorhine,0.0427111111111111
Fetus_CB_CD34+,0.0098,-0.000992015225315611,3,Homo-Pan,0.0446764705882353
Fetus_Endothelial_cell_(APC),0.01,0.00130910762626737,3,Homo-Pan,0.0449275362318841
Adult_Enterocyte,0.01,-0.00151772176160174,3,Primate,0.0449275362318841
Fetus_CB_CD34+,0.0102,-0.000802521798874209,3,Haplorhine,0.0454964028776978
Fetus_Fetal_stromal_cell,0.0104,0.000732381627232314,3,Human,0.0460571428571429
Adult_Proliferating_T_cell,0.0121,-0.00157403266521233,3,Homo-Pan,0.0532056737588652
Fetus_Neutrophil_(RPS_high),0.0124,-0.000555744374161626,3,Human,0.0541408450704225
Adult_Stratified_epithelial_cell,0.0126,-0.00200721470256299,3,Great Ape,0.05425
Adult_Erythroid_cell,0.0126,-0.000927181925758785,3,Haplorhine,0.05425
Fetus_Erythroid_progenitor_cell_(RP_high),0.0128,-0.000491908112002307,3,Haplorhine,0.0547310344827586
Fetus_Proximal_tubule_progenitor,0.0129,0.00131512595716258,3,Human,0.0547808219178082
Adult_Goblet_cell,0.0135,-0.00148857278484816,3,Haplorhine,0.0569387755102041
Adult_Stromal_cell,0.0138,-0.000646469635409639,3,Primate,0.0578108108108108
Adult_Fetal_acinar_cell,0.0143,0.00167708007703279,3,Haplorhine,0.059503355704698
Adult_Fetal_neuron,0.0144,0.00248725726919674,3,Great Ape,0.05952
Fetus_Sinusoidal_endothelial_cell,0.0145,-0.00186973744625671,3,Primate,0.0595364238410596
Adult_Neutrophil_(RPS_high),0.0147,-0.000983391026802994,3,Homo-Pan,0.0599605263157895
Adult_Gastric_endocrine_cell,0.015,-0.00148929145263789,3,Human,0.0603896103896104
Fetus_Monocyte,0.015,-0.000742983784246616,3,Homo-Pan,0.0603896103896104
Adult_Fibroblast,0.0152,0.000701794789072832,3,Human,0.0608
Fetus_Erythroid_progenitor_cell_(RP_high),0.0153,-0.000452428443545972,3,Human,0.0608076923076923
Adult_Fetal_skeletal_muscle_cell,0.0156,0.00131845783298259,3,Human,0.0616050955414013
Adult_Erythroid_progenitor_cell_(RP_high),0.0157,-0.000592482849017599,3,Haplorhine,0.0616075949367089
Adult_Smooth_muscle_cell,0.0162,0.001156210277998,3,Human,0.0631625
Fetus_Kidney_intercalated_cell,0.0163,0.00121202628002976,3,Homo-Pan,0.0631625
Adult_Epithelial_cell,0.0179,-0.00134326971673081,3,Primate,0.0689316770186335
Adult_Neutrophil_(RPS_high),0.0191,-0.000699093295612466,3,Human,0.0730987654320988
Fetus_Endothelial_cell_(APC),0.0199,0.00105509273987555,3,Great Ape,0.0756932515337423
Fetus_Basal_cell,0.0204,0.00141233926914881,3,Great Ape,0.0764790419161677
Fetus_M2_Macrophage,0.0204,-0.00100007221295328,3,Great Ape,0.0764790419161677
Fetus_Endothelial_cell_(endothelial_to_mesenchymal_transition),0.0205,0.00107862820312707,3,Primate,0.0764790419161677
Adult_Enterocyte_progenitor,0.0206,-0.000875688889317649,3,Human,0.0764790419161677
Fetus_Fibroblast,0.021,0.000953662688071286,3,Human,0.0775
Adult_Stromal_cell,0.0212,0.00072267228850756,3,Great Ape,0.0777751479289941
Fetus_Fetal_neuron,0.0217,0.00177825049970685,3,Haplorhine,0.078485549132948
