celltype,p,coefs,ctd_level,branch,fdr
Adult_B_cell,0.0383,0.00240851293318725,3,Haplorhine,0.329805555555556
Fetus_hESC,0.0391,0.0127740555751296,3,Homo-Pan,0.332082191780822
Fetus_Intercalated_cell,0.0401,-0.00256746369196654,3,Primate,0.3348
Fetus_Fetal_endocrine_cell,0.0405,-0.00363351294885557,3,Primate,0.3348
Fetus_Epithelial_cell,0.0415,0.013036317307428,3,Homo-Pan,0.338552631578947
Fetus_Antigen_presenting_cell_(RPS_high),0.0439,-0.00297006363715922,3,Homo-Pan,0.351333333333333
Adult_Gastric_endocrine_cell,0.0453,0.00589724126546378,3,Human,0.351333333333333
Fetus_Ureteric_bud_cell,0.0458,-0.00326751082301926,3,Great Ape,0.351333333333333
Adult_Antigen_presenting_cell_(RPS_high),0.0462,0.00308797125193199,3,Great Ape,0.351333333333333
Adult_Proliferating_T_cell,0.0469,0.00762100663595919,3,Homo-Pan,0.351333333333333
Fetus_Gastric_endocrine_cell,0.0474,0.0099394059021091,3,Homo-Pan,0.351333333333333
Fetus_Macrophage,0.0476,0.00160693376456618,3,Haplorhine,0.351333333333333
Fetus_Myeloid_cell,0.0476,-0.00400061586582642,3,Human,0.351333333333333
Fetus_Hepatocyte_Endodermal_cell,0.049,0.00275071786042388,3,Haplorhine,0.3565
Adult_Oligodendrocyte,0.0503,0.00473155766917765,3,Primate,0.3565
Fetus_Endothelial_cell_(endothelial_to_mesenchymal_transition),0.0506,-0.00520742137993504,3,Great Ape,0.3565
Adult_Fetal_enterocyte,0.0513,0.00279401299650703,3,Primate,0.3565
Fetus_Intermediated_cell,0.0516,-0.00530662319506064,3,Homo-Pan,0.3565
HESC_hESC,0.0522,-0.00352984829609022,3,Human,0.3565
Fetus_Fetal_skeletal_muscle_cell,0.0529,0.00841020756446973,3,Homo-Pan,0.3565
Fetus_Monocyte,0.0529,-0.0032534092620739,3,Homo-Pan,0.3565
Adult_Antigen_presenting_cell_(RPS_high),0.0535,-0.00413711598868788,3,Homo-Pan,0.356666666666667
Adult_Pancreas_exocrine_cell,0.0545,0.00377896491276846,3,Haplorhine,0.3584375
HESC_Primordial_germ_cell,0.055,-0.00258446294568642,3,Haplorhine,0.3584375
Adult_Epithelial_cell,0.0555,0.00292439188141563,3,Primate,0.3584375
Fetus_Neutrophil_(RPS_high),0.0576,-0.00127847276645549,3,Haplorhine,0.363545454545455
Fetus_Immature_sertoli_cell_(Pre_Sertoli_cell),0.0578,-0.00651648951695221,3,Human,0.363545454545455
Adult_Fetal_endocrine_cell,0.0584,0.00395496077578097,3,Haplorhine,0.363545454545455
Fetus_Stratified_epithelial_cell,0.0599,0.00596429038173004,3,Great Ape,0.363545454545455
Fetus_Neutrophil_(RPS_high),0.0602,0.00173213944428184,3,Human,0.363545454545455
Fetus_Macrophage,0.0605,0.00125940784199136,3,Primate,0.363545454545455
HESC_Primordial_germ_cell,0.0607,-0.00378754445092693,3,Human,0.363545454545455
Fetus_Stromal_cell,0.0618,-0.00162773273003771,3,Primate,0.363545454545455
Fetus_Fetal_Neuron,0.0632,0.00668117705022869,3,Homo-Pan,0.363545454545455
Fetus_Hepatocyte_Endodermal_cell,0.0633,-0.00368650399029063,3,Human,0.363545454545455
Fetus_Neutrophil,0.0636,0.00142625674923103,3,Primate,0.363545454545455
Fetus_Pancreas_exocrine_cell,0.0638,0.00956488447447873,3,Homo-Pan,0.363545454545455
Fetus_Fetal_chondrocyte,0.0643,-0.00396403382659804,3,Human,0.363545454545455
Adult_Gastric_chief_cell,0.0645,0.00211063752633654,3,Primate,0.363545454545455
Fetus_Fetal_stromal_cell,0.0667,-0.00280825218034908,3,Great Ape,0.372548672566372
Adult_Fetal_stromal_cell,0.0675,-0.00232937836804657,3,Haplorhine,0.372548672566372
Fetus_Erythroid_progenitor_cell_(RP_high),0.0679,0.00170671831418617,3,Great Ape,0.372548672566372
Adult_Ventricle_cardiomyocyte,0.069,0.00363504526880939,3,Primate,0.375263157894737
Adult_B_cell,0.0697,0.00174717380207895,3,Primate,0.375773913043478
Fetus_Primordial_germ_cell,0.0718,0.00922998061879962,3,Great Ape,0.383758620689655
Fetus_Neutrophil,0.0748,-0.004001424289296,3,Homo-Pan,0.38927868852459
Fetus_Fetal_skeletal_muscle_cell,0.0749,-0.0023446794171976,3,Primate,0.38927868852459
Fetus_Fetal_acinar_cell,0.0757,-0.001787634110331,3,Primate,0.38927868852459
Fetus_Fetal_neuron,0.0762,-0.00330440366636569,3,Primate,0.38927868852459
Adult_Smooth_muscle_cell,0.0763,-0.00394474571364001,3,Human,0.38927868852459
Fetus_Monocyte,0.0766,0.00179361290425978,3,Human,0.38927868852459
Adult_Ureteric_bud_cell,0.0777,0.00218133769747737,3,Primate,0.3905
Adult_Fetal_chondrocyte,0.0781,-0.00242490851964862,3,Primate,0.3905
Fetus_hESC,0.0788,-0.00328876186140381,3,Haplorhine,0.390848
Adult_Pancreas_exocrine_cell,0.0809,0.00831755695749618,3,Homo-Pan,0.393136363636364
Adult_Fetal_fibroblast,0.081,-0.00224789679821433,3,Haplorhine,0.393136363636364
Adult_Fetal_skeletal_muscle_cell,0.0815,-0.00246157161408518,3,Primate,0.393136363636364
Adult_Goblet_cell,0.0827,0.00666520633713855,3,Homo-Pan,0.393136363636364
Fetus_Erythroid_progenitor_cell_(RP_high),0.0831,-0.00213338811090766,3,Homo-Pan,0.393136363636364
Adult_Fetal_mesenchymal_progenitor,0.0833,-0.00556006417925802,3,Homo-Pan,0.393136363636364
Adult_Proximal_tubule_progenitor,0.0837,-0.00677695004706051,3,Great Ape,0.393136363636364
Adult_Fetal_endocrine_cell,0.0853,-0.00308074937004253,3,Primate,0.394463768115942
Adult_Gastric_chief_cell,0.087,0.00378836959847382,3,Homo-Pan,0.394463768115942
Fetus_CB_CD34+,0.087,-0.00296832006881092,3,Homo-Pan,0.394463768115942
Adult_Ureteric_bud_cell,0.087,-0.00415144257959406,3,Great Ape,0.394463768115942
Adult_Primordial_germ_cell,0.0875,-0.00431991695716823,3,Great Ape,0.394463768115942
Fetus_Loop_of_Henle,0.0878,-0.00476076363856126,3,Great Ape,0.394463768115942
Adult_Endothelial_cell_(endothelial_to_mesenchymal_transition),0.0892,-0.00303350237378904,3,Great Ape,0.395471428571429
Fetus_Fetal_enterocyte,0.0893,-0.00129738077285545,3,Human,0.395471428571429
Adult_Loop_of_Henle,0.0902,-0.00319288817804695,3,Human,0.39551724137931
Adult_Monocyte,0.0914,0.00137700219735282,3,Haplorhine,0.39551724137931
Adult_Neutrophil_(RPS_high),0.092,-0.00317804558449476,3,Homo-Pan,0.39551724137931
Adult_Thyroid_follicular_cell,0.0924,0.00451738981963326,3,Great Ape,0.39551724137931
Adult_Fetal_chondrocyte,0.0925,0.00402501017271004,3,Human,0.39551724137931
HESC_Fetal_neuron,0.0932,-0.00294607248621685,3,Haplorhine,0.395780821917808
Adult_Endothelial_cell,0.0957,-0.00269813342395706,3,Human,0.397031055900621
Adult_Fetal_endocrine_cell,0.0962,0.00585528544869101,3,Great Ape,0.397031055900621
Fetus_Mast_cell,0.0964,-0.00481357062172195,3,Homo-Pan,0.397031055900621
Adult_M2_Macrophage,0.0969,0.00146673353336167,3,Primate,0.397031055900621
Fetus_Fetal_neuron,0.0982,-0.00608525005384111,3,Great Ape,0.397031055900621
Fetus_Fetal_chondrocyte,0.0999,-0.00345111350129563,3,Great Ape,0.397031055900621
Adult_Primordial_germ_cell,0.1,-0.00248871852502834,3,Haplorhine,0.397031055900621
Adult_Fetal_fibroblast,0.1004,-0.00311710396292589,3,Human,0.397031055900621
Adult_Primordial_germ_cell,0.1016,0.00361415773484965,3,Human,0.397031055900621
Adult_Fasciculata_cell,0.1017,0.00649735727286127,3,Homo-Pan,0.397031055900621
Adult_Neutrophil,0.102,-0.00480080004220858,3,Homo-Pan,0.397031055900621
Fetus_Primordial_germ_cell,0.1022,0.00408781993199537,3,Primate,0.397031055900621
Fetus_Sinusoidal_endothelial_cell,0.1027,0.00327863206677433,3,Primate,0.397031055900621
Adult_Fetal_acinar_cell,0.103,-0.00300909270250934,3,Haplorhine,0.397031055900621
Fetus_hESC,0.1031,0.00265083486066436,3,Primate,0.397031055900621
Fetus_Sinusoidal_endothelial_cell,0.1038,-0.005066088246021,3,Human,0.397104294478528
Adult_Thyroid_follicular_cell,0.1044,0.00526171037725239,3,Homo-Pan,0.397104294478528
Fetus_Fetal_epithelial_progenitor,0.1069,-0.00131874369488872,3,Primate,0.402816568047337
Fetus_T_cell,0.1073,-0.00400542346738696,3,Homo-Pan,0.402816568047337
Fetus_Smooth_muscle_cell,0.1086,-0.00234005057295842,3,Great Ape,0.402816568047337
Fetus_Kidney_intercalated_cell,0.1088,0.00154064689277499,3,Primate,0.402816568047337
Adult_Intermediated_cell,0.1092,0.00406970095201642,3,Great Ape,0.402816568047337
Adult_Fibroblast,0.1098,0.00358938355117922,3,Homo-Pan,0.402816568047337
Adult_Enterocyte_progenitor,0.1135,0.00308527512881512,3,Great Ape,0.405759162303665
Adult_Fetal_neuron,0.1158,-0.00976375624722494,3,Homo-Pan,0.405759162303665
Fetus_Goblet_cell,0.116,-0.00265029881927123,3,Great Ape,0.405759162303665
Fetus_B_cell,0.1166,-0.00294711155765017,3,Homo-Pan,0.405759162303665
Fetus_Intermediated_cell,0.1166,-0.00232223041903725,3,Human,0.405759162303665
Fetus_Fibroblast,0.1168,-0.00291751592635368,3,Human,0.405759162303665
Adult_Proliferating_T_cell,0.1175,-0.00214850968861692,3,Haplorhine,0.405759162303665
Adult_Fetal_enterocyte,0.1177,-0.00261048326923351,3,Haplorhine,0.405759162303665
Fetus_Astrocyte,0.1186,-0.00691269830553008,3,Great Ape,0.405759162303665
Fetus_Stratified_epithelial_cell,0.1188,0.00237107838980198,3,Primate,0.405759162303665
Fetus_Fetal_neuron,0.1194,-0.00492986685015608,3,Human,0.405759162303665
Adult_Gastric_endocrine_cell,0.1198,0.00640530994096638,3,Homo-Pan,0.405759162303665
Adult_AT2_cell,0.12,0.00234486185701162,3,Primate,0.405759162303665
Fetus_Ureteric_bud_cell,0.1211,-0.00121752190120658,3,Primate,0.405759162303665
